name,location,specialties,address
Apollo Clinic,"Nagpur, Maharashtra",Gastroenterology:Liver:Heart Problems:Thyroid,"Kant Ganj, Nagpur, Maharashtra 346800"
Medanta Speciality Hospital,"Kolkata, West Bengal",Kidney:Thyroid:Gastroenterology,"Deo Chowk, Kolkata, West Bengal 903494"
Max Clinic,"Vadodara, Gujarat",Neurology:Heart Problems,"Sampath Road, Vadodara, Gujarat 574374"
Apollo Medical Center,"Patna, Bihar",Cancer:Orthopedics:Liver:Neurology:Heart Problems,"Ranganathan Circle, Patna, Bihar 085899"
Life Medical Center,"Lucknow, Uttar Pradesh",Stroke,"Misra Road, Lucknow, Uttar Pradesh 715454"
Apollo Hospital,"Chennai, Tamil Nadu",Orthopedics,"Misra Road, Chennai, Tamil Nadu 283096"
Fortis Institute,"Bangalore, Karnataka",Heart Problems:Liver:Orthopedics:Cancer:Stroke,"Dey Path, Bangalore, Karnataka 744666"
AIIMS Hospital,"Indore, Madhya Pradesh",Kidney,"Gupta Nagar, Indore, Madhya Pradesh 387584"
Medanta Hospital,"New Delhi, Delhi",Cancer:Liver:Stroke:Kidney:Heart Problems,"Golla Street, New Delhi, Delhi 172482"
AIIMS Institute,"Ahmedabad, Gujarat",Stroke:Heart Problems,"Chakraborty Path, Ahmedabad, Gujarat 534655"
Life Speciality Hospital,"Mumbai, Maharashtra",Diabetes:Neurology,"Menon Road, Mumbai, Maharashtra 170999"
Global Hospital,"Jaipur, Rajasthan",Kidney:Liver:Neurology:Stroke,"Sodhi Zila, Jaipur, Rajasthan 816846"
Global Speciality Hospital,"Thiruvananthapuram, Kerala",Heart Problems:Liver:Gastroenterology:Orthopedics:Neurology,"Dora Nagar, Thiruvananthapuram, Kerala 356972"
Apollo Clinic,"Ahmedabad, Gujarat",Neurology:Heart Problems:Diabetes,"Gole Path, Ahmedabad, Gujarat 752500"
Narayana Hospital,"Coimbatore, Tamil Nadu",Orthopedics:Cancer:Thyroid:Heart Problems:Stroke,"Mahal Chowk, Coimbatore, Tamil Nadu 292712"
Fortis Hospital,"Surat, Gujarat",Neurology:Liver:Thyroid,"Saraf, Surat, Gujarat 667600"
Medanta Hospital,"Kolkata, West Bengal",Neurology:Orthopedics:Liver:Gastroenterology:Heart Problems,"Iyengar Circle, Kolkata, West Bengal 058300"
Global Clinic,"Indore, Madhya Pradesh",Heart Problems:Stroke,"Kara Ganj, Indore, Madhya Pradesh 421689"
AIIMS Speciality Hospital,"Thiruvananthapuram, Kerala",Heart Problems:Neurology:Orthopedics:Diabetes,"Ganesh Road, Thiruvananthapuram, Kerala 044789"
Apollo Medical Center,"Ahmedabad, Gujarat",Orthopedics:Kidney,"Nazareth Circle, Ahmedabad, Gujarat 257532"
Medanta Clinic,"Surat, Gujarat",Diabetes:Heart Problems:Gastroenterology,"Bahl Marg, Surat, Gujarat 323098"
Narayana Institute,"Indore, Madhya Pradesh",Orthopedics,"Dasgupta Street, Indore, Madhya Pradesh 064890"
Global Medical Center,"Hyderabad, Telangana",Stroke:Neurology:Orthopedics:Thyroid:Cancer,"Bava, Hyderabad, Telangana 001676"
Shree Medical Center,"Jaipur, Rajasthan",Diabetes:Orthopedics:Thyroid:Kidney:Heart Problems,"Krishnan Zila, Jaipur, Rajasthan 230461"
Narayana Medical Center,"Kolkata, West Bengal",Thyroid:Neurology,"Madan Circle, Kolkata, West Bengal 618914"
Max Medical Center,"Kolkata, West Bengal",Cancer,"Cherian Zila, Kolkata, West Bengal 393483"
Max Clinic,"Surat, Gujarat",Neurology,"Rout Path, Surat, Gujarat 208737"
Global Health Care,"Hyderabad, Telangana",Diabetes:Gastroenterology,"Keer Path, Hyderabad, Telangana 011972"
Max Medical Center,"Ahmedabad, Gujarat",Cancer:Diabetes,"Vaidya Zila, Ahmedabad, Gujarat 143744"
Shree Medical Center,"Chennai, Tamil Nadu",Neurology:Kidney:Liver:Gastroenterology,"Bedi Chowk, Chennai, Tamil Nadu 204556"
Care Hospital,"Hyderabad, Telangana",Cancer,"Chandran Zila, Hyderabad, Telangana 022557"
Max Clinic,"Vadodara, Gujarat",Cancer:Kidney:Diabetes,"Loyal, Vadodara, Gujarat 552166"
Narayana Health Care,"Nagpur, Maharashtra",Thyroid:Kidney,"Magar Chowk, Nagpur, Maharashtra 762120"
Care Hospital,"Visakhapatnam, Andhra Pradesh",Neurology:Stroke:Cancer:Orthopedics:Gastroenterology,"Chawla Street, Visakhapatnam, Andhra Pradesh 979729"
Fortis Hospital,"Indore, Madhya Pradesh",Kidney:Orthopedics:Diabetes:Heart Problems,"Parmer Marg, Indore, Madhya Pradesh 277167"
Life Health Care,"Chennai, Tamil Nadu",Diabetes:Heart Problems:Liver:Cancer,"Bhatnagar Nagar, Chennai, Tamil Nadu 508993"
AIIMS Speciality Hospital,"Kochi, Kerala",Diabetes:Cancer:Kidney:Gastroenterology,"Venkataraman Path, Kochi, Kerala 637562"
Care Institute,"Bangalore, Karnataka",Heart Problems,"Bhagat Circle, Bangalore, Karnataka 287721"
Shree Institute,"Nagpur, Maharashtra",Thyroid:Cancer:Stroke,"Nagi Chowk, Nagpur, Maharashtra 540838"
Apollo Health Care,"Hyderabad, Telangana",Neurology,"Rau Marg, Hyderabad, Telangana 177971"
Care Institute,"Nagpur, Maharashtra",Thyroid:Stroke:Heart Problems:Kidney,"Sekhon Chowk, Nagpur, Maharashtra 170166"
Narayana Medical Center,"Hyderabad, Telangana",Neurology:Kidney:Diabetes:Liver:Stroke,"Acharya Nagar, Hyderabad, Telangana 994883"
Shree Institute,"Vadodara, Gujarat",Cancer:Heart Problems:Diabetes,"Om Chowk, Vadodara, Gujarat 037589"
Life Speciality Hospital,"New Delhi, Delhi",Kidney:Diabetes,"Solanki, New Delhi, Delhi 711305"
AIIMS Medical Center,"Thiruvananthapuram, Kerala",Liver:Gastroenterology:Kidney:Neurology,"Manne Path, Thiruvananthapuram, Kerala 102726"
Max Hospital,"Indore, Madhya Pradesh",Stroke:Liver,"Kumar Zila, Indore, Madhya Pradesh 316373"
Narayana Medical Center,"New Delhi, Delhi",Orthopedics:Liver:Cancer:Stroke,"Chokshi Path, New Delhi, Delhi 091779"
Apollo Medical Center,"Surat, Gujarat",Gastroenterology:Neurology:Kidney:Diabetes:Stroke,"Desai Circle, Surat, Gujarat 080869"
Medanta Hospital,"Vadodara, Gujarat",Orthopedics:Thyroid:Stroke:Cancer,"Trivedi Chowk, Vadodara, Gujarat 922169"
Life Clinic,"Chennai, Tamil Nadu",Diabetes:Heart Problems,"Nagy, Chennai, Tamil Nadu 693465"
AIIMS Speciality Hospital,"Hyderabad, Telangana",Diabetes:Neurology,"Sethi Road, Hyderabad, Telangana 269848"
Global Speciality Hospital,"Mumbai, Maharashtra",Diabetes:Cancer,"Kalla Path, Mumbai, Maharashtra 394522"
Narayana Speciality Hospital,"Bhopal, Madhya Pradesh",Neurology:Cancer:Gastroenterology:Liver,"Naidu Circle, Bhopal, Madhya Pradesh 587996"
Narayana Institute,"Patna, Bihar",Kidney:Gastroenterology,"Mangal Circle, Patna, Bihar 081062"
Fortis Medical Center,"Vadodara, Gujarat",Stroke,"Bhalla Nagar, Vadodara, Gujarat 424420"
Fortis Health Care,"Nagpur, Maharashtra",Neurology:Liver:Gastroenterology,"Jani Road, Nagpur, Maharashtra 571983"
Fortis Hospital,"Kochi, Kerala",Stroke:Orthopedics,"Ramachandran Circle, Kochi, Kerala 840666"
Global Hospital,"Ahmedabad, Gujarat",Orthopedics:Thyroid:Diabetes:Gastroenterology,"Bhagat Path, Ahmedabad, Gujarat 439735"
Narayana Hospital,"New Delhi, Delhi",Orthopedics:Diabetes,"Hegde, New Delhi, Delhi 472122"
Narayana Clinic,"Lucknow, Uttar Pradesh",Thyroid:Orthopedics:Neurology:Heart Problems,"Dar Circle, Lucknow, Uttar Pradesh 064842"
Fortis Speciality Hospital,"Chennai, Tamil Nadu",Diabetes:Cancer:Orthopedics:Kidney:Liver,"Kumer Street, Chennai, Tamil Nadu 572025"
Global Medical Center,"Bangalore, Karnataka",Gastroenterology:Orthopedics:Thyroid,"Behl, Bangalore, Karnataka 798515"
Life Speciality Hospital,"Jaipur, Rajasthan",Heart Problems:Thyroid:Cancer:Stroke,"Kannan Circle, Jaipur, Rajasthan 818268"
Fortis Clinic,"New Delhi, Delhi",Heart Problems:Thyroid,"Raval Circle, New Delhi, Delhi 533555"
Apollo Medical Center,"Nagpur, Maharashtra",Stroke,"Kamdar Road, Nagpur, Maharashtra 801573"
Medanta Speciality Hospital,"Chennai, Tamil Nadu",Liver,"Kohli, Chennai, Tamil Nadu 561648"
Care Medical Center,"Lucknow, Uttar Pradesh",Liver:Orthopedics:Heart Problems,"Bakshi Road, Lucknow, Uttar Pradesh 887704"
Care Institute,"New Delhi, Delhi",Orthopedics:Diabetes:Stroke:Gastroenterology:Kidney,"Nagi Ganj, New Delhi, Delhi 128801"
Apollo Institute,"Visakhapatnam, Andhra Pradesh",Orthopedics:Heart Problems,"Kala Ganj, Visakhapatnam, Andhra Pradesh 138612"
Shree Clinic,"New Delhi, Delhi",Thyroid,"Sharaf Nagar, New Delhi, Delhi 011024"
Life Medical Center,"Hyderabad, Telangana",Diabetes:Heart Problems:Thyroid:Cancer:Stroke,"Bobal Circle, Hyderabad, Telangana 466766"
Max Institute,"Bangalore, Karnataka",Neurology:Heart Problems,"Badal Path, Bangalore, Karnataka 180919"
Shree Health Care,"Kolkata, West Bengal",Orthopedics:Kidney,"Bora Nagar, Kolkata, West Bengal 814491"
Shree Institute,"Nagpur, Maharashtra",Gastroenterology:Neurology:Cancer,"Sarma Road, Nagpur, Maharashtra 607283"
Shree Institute,"Coimbatore, Tamil Nadu",Thyroid:Liver:Gastroenterology:Diabetes,"Raman Street, Coimbatore, Tamil Nadu 245088"
AIIMS Speciality Hospital,"Lucknow, Uttar Pradesh",Orthopedics:Liver:Thyroid:Gastroenterology,"Dasgupta Street, Lucknow, Uttar Pradesh 099688"
Max Speciality Hospital,"Thiruvananthapuram, Kerala",Stroke,"Mody Zila, Thiruvananthapuram, Kerala 536822"
AIIMS Health Care,"New Delhi, Delhi",Heart Problems:Diabetes,"Kant Street, New Delhi, Delhi 312908"
Max Hospital,"Bangalore, Karnataka",Neurology:Kidney:Heart Problems,"Bora Chowk, Bangalore, Karnataka 141397"
Shree Clinic,"Kolkata, West Bengal",Orthopedics:Cancer:Gastroenterology,"Parikh Path, Kolkata, West Bengal 314913"
Global Hospital,"Surat, Gujarat",Kidney:Gastroenterology:Thyroid:Stroke:Neurology,"Sunder Path, Surat, Gujarat 594929"
Fortis Medical Center,"Chennai, Tamil Nadu",Cancer:Kidney,"Patla, Chennai, Tamil Nadu 620533"
Max Clinic,"New Delhi, Delhi",Cancer:Neurology:Heart Problems:Gastroenterology:Stroke,"Malhotra Marg, New Delhi, Delhi 257775"
Global Hospital,"Bhopal, Madhya Pradesh",Stroke:Diabetes:Gastroenterology:Thyroid:Liver,"Sur Road, Bhopal, Madhya Pradesh 291428"
Narayana Speciality Hospital,"Chennai, Tamil Nadu",Diabetes:Stroke:Liver:Neurology:Kidney,"Lall Ganj, Chennai, Tamil Nadu 108099"
Max Clinic,"Coimbatore, Tamil Nadu",Diabetes:Kidney:Neurology:Liver:Cancer,"Kala Marg, Coimbatore, Tamil Nadu 848872"
AIIMS Clinic,"Patna, Bihar",Diabetes:Kidney:Liver:Gastroenterology,"Ramanathan Path, Patna, Bihar 942788"
Narayana Speciality Hospital,"Kolkata, West Bengal",Liver:Orthopedics:Thyroid:Diabetes:Stroke,"Ranganathan Zila, Kolkata, West Bengal 803928"
Care Speciality Hospital,"Pune, Maharashtra",Gastroenterology:Heart Problems:Liver:Kidney,"Sehgal Street, Pune, Maharashtra 299275"
Care Clinic,"Mumbai, Maharashtra",Neurology:Gastroenterology:Cancer,"Kanda Nagar, Mumbai, Maharashtra 314530"
AIIMS Clinic,"Bhopal, Madhya Pradesh",Orthopedics:Kidney:Diabetes:Gastroenterology:Cancer,"Vasa Ganj, Bhopal, Madhya Pradesh 677005"
Apollo Institute,"Kolkata, West Bengal",Thyroid:Heart Problems:Stroke,"Verma Zila, Kolkata, West Bengal 498926"
Global Hospital,"Bhopal, Madhya Pradesh",Liver:Kidney:Gastroenterology,"Pau Marg, Bhopal, Madhya Pradesh 846386"
Apollo Hospital,"Jaipur, Rajasthan",Liver:Gastroenterology,"Pai Path, Jaipur, Rajasthan 790827"
Care Medical Center,"Chennai, Tamil Nadu",Gastroenterology,"Karpe Street, Chennai, Tamil Nadu 843222"
Max Institute,"Lucknow, Uttar Pradesh",Heart Problems:Orthopedics:Stroke,"Dani Path, Lucknow, Uttar Pradesh 651777"
Apollo Medical Center,"Visakhapatnam, Andhra Pradesh",Neurology:Heart Problems,"Edwin Ganj, Visakhapatnam, Andhra Pradesh 030299"
Apollo Health Care,"Coimbatore, Tamil Nadu",Kidney:Gastroenterology,"Desai Street, Coimbatore, Tamil Nadu 920242"
Global Clinic,"Nagpur, Maharashtra",Stroke:Orthopedics:Neurology,"Ravi Circle, Nagpur, Maharashtra 413797"
Apollo Medical Center,"Ahmedabad, Gujarat",Heart Problems:Gastroenterology:Diabetes:Cancer,"Garde Chowk, Ahmedabad, Gujarat 692929"
AIIMS Clinic,"Chennai, Tamil Nadu",Orthopedics:Liver:Cancer:Diabetes:Kidney,"Lalla Circle, Chennai, Tamil Nadu 579913"
Medanta Clinic,"Bangalore, Karnataka",Neurology:Orthopedics:Stroke:Gastroenterology,"Rajan Marg, Bangalore, Karnataka 103886"
Shree Clinic,"Hyderabad, Telangana",Cancer:Heart Problems:Liver:Orthopedics:Gastroenterology,"Char Street, Hyderabad, Telangana 799088"
Global Health Care,"Hyderabad, Telangana",Neurology:Gastroenterology:Heart Problems:Stroke,"Chander Zila, Hyderabad, Telangana 298068"
Care Hospital,"Thiruvananthapuram, Kerala",Thyroid:Cancer:Kidney,"Prabhakar Marg, Thiruvananthapuram, Kerala 863765"
Fortis Clinic,"Lucknow, Uttar Pradesh",Liver:Kidney:Neurology:Heart Problems,"Chaudhari, Lucknow, Uttar Pradesh 247314"
Apollo Health Care,"Vadodara, Gujarat",Stroke:Liver,"Rege, Vadodara, Gujarat 300981"
Life Speciality Hospital,"Jaipur, Rajasthan",Stroke:Heart Problems:Thyroid:Diabetes:Cancer,"Amble Circle, Jaipur, Rajasthan 356512"
Max Hospital,"Kolkata, West Bengal",Diabetes:Orthopedics,"Kulkarni Marg, Kolkata, West Bengal 869594"
Medanta Speciality Hospital,"Pune, Maharashtra",Heart Problems:Diabetes:Gastroenterology,"Jani Marg, Pune, Maharashtra 887258"
Care Speciality Hospital,"Chennai, Tamil Nadu",Diabetes:Stroke:Gastroenterology:Neurology:Cancer,"Sule Circle, Chennai, Tamil Nadu 495621"
Life Speciality Hospital,"Patna, Bihar",Orthopedics:Gastroenterology:Stroke:Liver:Cancer,"Sekhon Ganj, Patna, Bihar 138658"
Global Medical Center,"Pune, Maharashtra",Liver:Thyroid:Cancer:Neurology:Gastroenterology,"Ben, Pune, Maharashtra 601279"
Fortis Clinic,"Pune, Maharashtra",Diabetes:Gastroenterology,"Chakrabarti Marg, Pune, Maharashtra 435190"
Life Clinic,"New Delhi, Delhi",Stroke:Orthopedics:Liver:Thyroid:Heart Problems,"Rattan Marg, New Delhi, Delhi 902770"
AIIMS Hospital,"New Delhi, Delhi",Liver:Orthopedics,"Vasa Ganj, New Delhi, Delhi 309883"
Max Hospital,"Surat, Gujarat",Thyroid:Heart Problems:Gastroenterology:Diabetes:Kidney,"Gara, Surat, Gujarat 530214"
Medanta Speciality Hospital,"Kolkata, West Bengal",Diabetes,"Pandit Marg, Kolkata, West Bengal 693801"
Max Speciality Hospital,"Jaipur, Rajasthan",Gastroenterology:Diabetes:Orthopedics,"Mane Zila, Jaipur, Rajasthan 543937"
Narayana Medical Center,"Jaipur, Rajasthan",Diabetes,"Agrawal Marg, Jaipur, Rajasthan 268181"
Max Medical Center,"Thiruvananthapuram, Kerala",Stroke:Neurology:Cancer:Kidney:Liver,"Menon Circle, Thiruvananthapuram, Kerala 184894"
Medanta Institute,"Mumbai, Maharashtra",Thyroid:Liver,"Purohit Chowk, Mumbai, Maharashtra 357790"
Care Hospital,"Indore, Madhya Pradesh",Cancer,"Dada Chowk, Indore, Madhya Pradesh 163356"
Fortis Speciality Hospital,"Vadodara, Gujarat",Kidney:Diabetes:Stroke,"Varty Path, Vadodara, Gujarat 434165"
Care Institute,"Kolkata, West Bengal",Orthopedics:Diabetes:Kidney,"Gokhale Zila, Kolkata, West Bengal 553942"
Apollo Institute,"Bangalore, Karnataka",Cancer:Diabetes,"Tara Ganj, Bangalore, Karnataka 334333"
Apollo Hospital,"Bangalore, Karnataka",Orthopedics:Heart Problems,"Parekh Ganj, Bangalore, Karnataka 111790"
Medanta Clinic,"Mumbai, Maharashtra",Orthopedics,"Basak Circle, Mumbai, Maharashtra 595794"
Narayana Institute,"Lucknow, Uttar Pradesh",Liver,"Goswami Chowk, Lucknow, Uttar Pradesh 639208"
Care Hospital,"Pune, Maharashtra",Orthopedics:Thyroid:Neurology:Kidney:Diabetes,"Sridhar Marg, Pune, Maharashtra 856271"
AIIMS Speciality Hospital,"Surat, Gujarat",Gastroenterology:Cancer:Kidney:Diabetes,"Sharma Circle, Surat, Gujarat 003691"
Medanta Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Liver:Heart Problems:Stroke:Kidney,"Pathak Path, Visakhapatnam, Andhra Pradesh 284347"
Shree Clinic,"Ahmedabad, Gujarat",Stroke:Gastroenterology:Cancer:Thyroid,"Oza, Ahmedabad, Gujarat 276365"
AIIMS Speciality Hospital,"Nagpur, Maharashtra",Orthopedics,"Rattan Path, Nagpur, Maharashtra 729293"
Max Medical Center,"Ahmedabad, Gujarat",Kidney:Thyroid:Gastroenterology:Orthopedics:Heart Problems,"Madan Zila, Ahmedabad, Gujarat 866322"
Max Speciality Hospital,"Mumbai, Maharashtra",Orthopedics:Stroke:Gastroenterology:Thyroid,"Andra Chowk, Mumbai, Maharashtra 672885"
Life Medical Center,"Indore, Madhya Pradesh",Neurology:Stroke:Liver:Diabetes:Cancer,"Mital Chowk, Indore, Madhya Pradesh 890612"
Fortis Institute,"Chennai, Tamil Nadu",Cancer:Neurology:Kidney:Heart Problems:Orthopedics,"Kale Nagar, Chennai, Tamil Nadu 717545"
Care Medical Center,"Bangalore, Karnataka",Neurology:Liver:Cancer,"Kurian Path, Bangalore, Karnataka 061593"
Life Hospital,"Kochi, Kerala",Liver,"Yohannan, Kochi, Kerala 455877"
Life Clinic,"New Delhi, Delhi",Orthopedics:Liver,"Raj Zila, New Delhi, Delhi 722569"
Max Medical Center,"Pune, Maharashtra",Thyroid:Orthopedics:Liver,"Ravel, Pune, Maharashtra 125355"
Max Institute,"Jaipur, Rajasthan",Kidney,"Loke Road, Jaipur, Rajasthan 475987"
AIIMS Health Care,"Kolkata, West Bengal",Neurology,"Ganesh Marg, Kolkata, West Bengal 023413"
Max Institute,"Vadodara, Gujarat",Diabetes:Neurology:Liver:Thyroid:Stroke,"Ranganathan Street, Vadodara, Gujarat 117800"
Global Institute,"Surat, Gujarat",Heart Problems,"Viswanathan Marg, Surat, Gujarat 149216"
Apollo Hospital,"Vadodara, Gujarat",Orthopedics:Diabetes:Heart Problems:Cancer,"Karnik Road, Vadodara, Gujarat 472282"
Medanta Clinic,"Coimbatore, Tamil Nadu",Kidney:Stroke:Thyroid,"Banerjee Nagar, Coimbatore, Tamil Nadu 577848"
AIIMS Institute,"Kolkata, West Bengal",Stroke:Orthopedics,"Deshmukh Chowk, Kolkata, West Bengal 997968"
AIIMS Hospital,"New Delhi, Delhi",Neurology:Stroke,"Mukherjee Circle, New Delhi, Delhi 783174"
Max Speciality Hospital,"Nagpur, Maharashtra",Neurology:Diabetes:Kidney:Heart Problems,"Sachar Path, Nagpur, Maharashtra 240082"
Fortis Health Care,"Indore, Madhya Pradesh",Thyroid:Neurology:Kidney:Cancer,"Mangat Path, Indore, Madhya Pradesh 807740"
Global Medical Center,"Patna, Bihar",Cancer:Heart Problems:Orthopedics:Neurology:Kidney,"Master Marg, Patna, Bihar 085368"
AIIMS Hospital,"Pune, Maharashtra",Neurology:Diabetes,"Rana Marg, Pune, Maharashtra 266341"
Shree Clinic,"Kochi, Kerala",Cancer,"Khatri Marg, Kochi, Kerala 484631"
Max Clinic,"Jaipur, Rajasthan",Neurology:Gastroenterology,"Deshpande Street, Jaipur, Rajasthan 179749"
Medanta Health Care,"Hyderabad, Telangana",Diabetes:Stroke:Orthopedics:Kidney:Thyroid,"Guha Chowk, Hyderabad, Telangana 020802"
Fortis Medical Center,"New Delhi, Delhi",Thyroid:Stroke,"Manda Zila, New Delhi, Delhi 270312"
Global Hospital,"Coimbatore, Tamil Nadu",Kidney:Orthopedics:Heart Problems:Neurology:Stroke,"Tak Nagar, Coimbatore, Tamil Nadu 564757"
Shree Institute,"Vadodara, Gujarat",Liver:Thyroid:Heart Problems:Neurology,"Narayanan Nagar, Vadodara, Gujarat 204618"
Life Speciality Hospital,"Chennai, Tamil Nadu",Orthopedics,"Golla Chowk, Chennai, Tamil Nadu 460136"
Fortis Institute,"Chennai, Tamil Nadu",Neurology:Diabetes:Thyroid,"Kota Chowk, Chennai, Tamil Nadu 371837"
Narayana Speciality Hospital,"Chennai, Tamil Nadu",Stroke:Heart Problems:Gastroenterology:Neurology:Cancer,"Muni Marg, Chennai, Tamil Nadu 208814"
Care Clinic,"Kochi, Kerala",Gastroenterology:Cancer:Liver:Neurology:Orthopedics,"Misra Chowk, Kochi, Kerala 503136"
Fortis Speciality Hospital,"Ahmedabad, Gujarat",Liver:Neurology:Heart Problems,"Aurora Path, Ahmedabad, Gujarat 491630"
Narayana Institute,"Mumbai, Maharashtra",Gastroenterology,"Soman Nagar, Mumbai, Maharashtra 513271"
Apollo Clinic,"Thiruvananthapuram, Kerala",Liver:Neurology,"Nigam, Thiruvananthapuram, Kerala 052812"
Shree Speciality Hospital,"Kochi, Kerala",Diabetes:Orthopedics:Thyroid:Kidney,"Kaul Chowk, Kochi, Kerala 857306"
Apollo Hospital,"Thiruvananthapuram, Kerala",Diabetes:Liver:Orthopedics,"Desai Path, Thiruvananthapuram, Kerala 077848"
AIIMS Health Care,"Surat, Gujarat",Gastroenterology:Kidney:Cancer:Stroke,"Gupta Chowk, Surat, Gujarat 855749"
Medanta Medical Center,"Hyderabad, Telangana",Neurology:Stroke,"Dyal Circle, Hyderabad, Telangana 827448"
Narayana Speciality Hospital,"Bangalore, Karnataka",Cancer,"Setty Path, Bangalore, Karnataka 862095"
Life Health Care,"Kolkata, West Bengal",Thyroid:Cancer:Kidney,"Khare, Kolkata, West Bengal 186387"
Fortis Medical Center,"Coimbatore, Tamil Nadu",Liver:Stroke:Heart Problems,"Dube Circle, Coimbatore, Tamil Nadu 565118"
Max Clinic,"Pune, Maharashtra",Neurology:Heart Problems:Cancer:Thyroid:Gastroenterology,"Bassi Zila, Pune, Maharashtra 203173"
Global Hospital,"Patna, Bihar",Stroke:Cancer:Liver,"Balay Zila, Patna, Bihar 789940"
Fortis Institute,"Indore, Madhya Pradesh",Gastroenterology:Cancer:Kidney,"Kant Path, Indore, Madhya Pradesh 037170"
Global Speciality Hospital,"Bangalore, Karnataka",Liver:Heart Problems,"Sagar Path, Bangalore, Karnataka 094801"
Shree Health Care,"Hyderabad, Telangana",Gastroenterology:Diabetes,"Brahmbhatt Road, Hyderabad, Telangana 811386"
Apollo Clinic,"Indore, Madhya Pradesh",Cancer:Liver:Stroke:Neurology:Diabetes,"Hans Ganj, Indore, Madhya Pradesh 928861"
Max Institute,"Bhopal, Madhya Pradesh",Heart Problems:Diabetes:Neurology:Gastroenterology:Orthopedics,"Parmar, Bhopal, Madhya Pradesh 612286"
Medanta Hospital,"Ahmedabad, Gujarat",Gastroenterology:Cancer:Stroke:Heart Problems,"Nazareth Circle, Ahmedabad, Gujarat 897558"
Narayana Health Care,"Vadodara, Gujarat",Stroke:Diabetes:Kidney,"Prabhu Path, Vadodara, Gujarat 659398"
Medanta Health Care,"Coimbatore, Tamil Nadu",Thyroid:Neurology,"Prashad Ganj, Coimbatore, Tamil Nadu 577600"
Global Medical Center,"Mumbai, Maharashtra",Neurology:Kidney,"Babu Road, Mumbai, Maharashtra 404335"
Shree Clinic,"Lucknow, Uttar Pradesh",Stroke:Cancer:Heart Problems:Neurology,"Majumdar Nagar, Lucknow, Uttar Pradesh 107522"
Narayana Medical Center,"Hyderabad, Telangana",Thyroid:Stroke:Kidney,"Peri Road, Hyderabad, Telangana 344196"
Global Speciality Hospital,"Chennai, Tamil Nadu",Cancer:Gastroenterology:Kidney,"Kalla, Chennai, Tamil Nadu 572791"
Apollo Speciality Hospital,"Patna, Bihar",Diabetes:Cancer:Heart Problems,"Mital, Patna, Bihar 961055"
Shree Clinic,"Coimbatore, Tamil Nadu",Gastroenterology:Cancer,"Saha Marg, Coimbatore, Tamil Nadu 390604"
Care Clinic,"Thiruvananthapuram, Kerala",Stroke:Liver,"Barman Circle, Thiruvananthapuram, Kerala 892583"
Apollo Speciality Hospital,"Patna, Bihar",Orthopedics:Liver:Neurology,"Bedi Street, Patna, Bihar 799813"
Narayana Medical Center,"Kolkata, West Bengal",Thyroid,"Mann Marg, Kolkata, West Bengal 225179"
Shree Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Cancer:Neurology:Liver,"Rastogi Nagar, Visakhapatnam, Andhra Pradesh 168622"
Apollo Speciality Hospital,"Chennai, Tamil Nadu",Diabetes:Stroke:Thyroid:Gastroenterology:Liver,"Hora Chowk, Chennai, Tamil Nadu 693898"
Max Health Care,"New Delhi, Delhi",Thyroid:Gastroenterology:Liver:Neurology:Stroke,"Kibe Ganj, New Delhi, Delhi 465911"
Shree Institute,"Jaipur, Rajasthan",Liver,"Sampath Marg, Jaipur, Rajasthan 535590"
Shree Clinic,"Kochi, Kerala",Heart Problems:Cancer:Stroke,"Gara Road, Kochi, Kerala 979270"
Medanta Speciality Hospital,"Chennai, Tamil Nadu",Stroke:Cancer,"Iyengar Ganj, Chennai, Tamil Nadu 211039"
Apollo Speciality Hospital,"Indore, Madhya Pradesh",Gastroenterology:Diabetes:Liver:Stroke,"Mani Street, Indore, Madhya Pradesh 514770"
Apollo Clinic,"Jaipur, Rajasthan",Diabetes:Kidney:Neurology:Orthopedics,"Kadakia Path, Jaipur, Rajasthan 388487"
Global Institute,"Nagpur, Maharashtra",Thyroid:Orthopedics,"Dhaliwal, Nagpur, Maharashtra 698042"
Life Health Care,"Vadodara, Gujarat",Heart Problems:Cancer:Gastroenterology:Thyroid:Liver,"Mander Nagar, Vadodara, Gujarat 940701"
Medanta Clinic,"Surat, Gujarat",Thyroid:Diabetes:Cancer:Heart Problems,"Madan Marg, Surat, Gujarat 104636"
Life Clinic,"Visakhapatnam, Andhra Pradesh",Liver:Cancer:Stroke:Thyroid:Orthopedics,"Chaudhary Circle, Visakhapatnam, Andhra Pradesh 798123"
Care Institute,"Chennai, Tamil Nadu",Orthopedics:Neurology:Thyroid:Kidney,"Shankar Circle, Chennai, Tamil Nadu 038457"
Narayana Health Care,"Thiruvananthapuram, Kerala",Stroke:Orthopedics,"Dugar Marg, Thiruvananthapuram, Kerala 555438"
Medanta Speciality Hospital,"Patna, Bihar",Neurology:Diabetes:Thyroid:Heart Problems:Gastroenterology,"Bhatia Road, Patna, Bihar 608432"
Fortis Clinic,"Jaipur, Rajasthan",Gastroenterology,"Ramaswamy Path, Jaipur, Rajasthan 168936"
Medanta Medical Center,"Lucknow, Uttar Pradesh",Diabetes:Kidney:Neurology:Cancer,"Dua Ganj, Lucknow, Uttar Pradesh 495782"
